Series,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022
Values,338.321014,378.046997,320.192993,217.464005,254.263,244.223999,236.145004,230.190002,263.071991,284.649994,230.056,236.059998,314.165985,377.321014,430.566986,368.766998,437.696991,416.729004,448.317993,531.385986,673.336975,624.68103,575.471985,609.734985,700.971985,745.690979,963.742981,970.403015,1179.969971,1071.790039,1347.890015,2286.409912,2480.840088,2875.340088,4703.390137,4338.709961,6468.399902,10233.599609,14156.400391,10221.099609,10397.900391,6973.529785,9240.549805,7494.169922,6404,7780.439941,7037.580078,6625.560059,6317.609863,4017.268555,3742.700439,3457.792725,3854.7854,4105.404297,5350.726563,8574.501953,10817.155273,10085.62793,9630.664063,8293.868164,9199.584961,7569.629883,7193.599121,9350.529297,8599.508789,6438.644531,8658.553711,9461.058594,9137.993164,11323.466797,11680.820313,10784.491211,13780.995117,19625.835938,29001.720703,33114.359375,45137.769531,58918.832031,57750.175781,37332.855469,35040.835938,41626.195313,47166.6875,43790.894531,61318.957031,57005.425781,46306.445313,38483.125,43193.234375,45538.675781,40127.183594
YoY,0,0,0,0,0,0,0,0,0,0,0,0,-0.07139677407091247,-0.0019203511885057646,0.34471083194503255,0.6957610892892367,0.7214340702343637,0.7063392856817482,0.8984860378413935,1.308466837756055,1.559516018563907,1.1945583810551563,1.5014430616893277,1.5829661533759736,1.2312154035389926,0.9762773641862417,1.2383113716015377,1.63148009519008,1.6958603674750872,1.5719113109775291,2.0065490032651887,3.3027290373442404,2.6843960455312876,3.60289323656907,7.173100098000426,6.115730715369726,8.227758085082387,12.723646788276357,13.688978981004896,9.532839913940293,7.812004242945263,5.506432725859658,5.855566627964079,2.2777018165760996,1.5813836333009144,1.7059198922141554,0.49627818935063595,0.527080657282037,-0.02331179909785368,-0.6074432547207544,-0.7356177887297225,-0.661700515866678,-0.6292727132357849,-0.4112874794296157,-0.42095149358918477,0.14415632981960572,0.6891248084009994,0.29627990274078525,0.36846244820803875,0.2517988049529201,0.4561812395030448,0.8842728036139469,0.9220344342925918,1.7041902278859125,1.2308657672616479,0.5683338509936772,0.618201492648392,0.10339453484990059,-0.15523139555842824,0.12273294985610267,0.21287797358403196,0.30029691788575685,0.498001831106737,1.5927074693672973,3.031600901742826,2.5414422353207673,4.248877655516517,8.150812992909424,5.669725419342611,2.9459490814987337,2.8346314457803197,2.676099913502488,3.037960197667497,3.0605433927503247,3.4495304229052355,1.9046113480763773,0.5966792380084524,0.16212802319990524,-0.04308000098818614,-0.22709472996613483,-0.30515910901864335
QoQ,0,0,0,-0.3572258417267572,-0.3274301819146575,-0.23726001399412264,0.08590386717102913,-0.09467755041040188,0.07717501997008916,0.20540341391258057,-0.0005821364908801777,-0.10267909136704718,0.10369222421272907,0.6401268126021489,0.8239726749468157,0.17379670494881877,0.1600122303286295,-0.03213897593161035,0.21572156790451189,0.21404989507912786,0.6157670057445775,0.3933882640307055,0.08296417324035342,-0.0944578901225497,0.12212785619566527,0.2957902355576874,0.5805932162478752,0.38436775757878533,0.5823846663431341,0.11211190133689804,0.38900023409346063,0.9376848294387655,1.3146698492502038,1.1332156600329144,1.0571071321527756,0.7488873958408881,1.2496121168397942,1.175792207517656,2.262813259759172,0.5801588899659224,0.016055033251008093,-0.5073938577328276,-0.09593388593303553,-0.2792612315764585,-0.08167023050866624,-0.1580111459612441,-0.060926006315873346,0.03459713600874459,-0.18801379987414776,-0.4291690452577185,-0.43511183874697407,-0.45267390674896446,-0.04044617699201837,0.09690966827601877,0.5474399388702516,1.2243785485438436,1.634857492818569,0.8849081169166073,0.12317474715023827,-0.23326716177387358,-0.08785203808326489,-0.21400748344221426,-0.13266054164880253,0.016407733244477904,0.13605406366207137,-0.10494810418279914,-0.07400389475513545,0.1001859322595316,0.419241755000374,0.3077780856881952,0.23462086160292098,0.18018158007455487,0.21702967510366086,0.6801761701751126,1.6892062069111549,1.4029004505016254,1.2999157678477888,1.0315633211689164,0.7439617395889906,-0.1729131532881723,-0.4052693386799768,-0.2792022751436342,0.26340958674231857,0.24971032678792374,0.4730857953729412,0.20859506576543027,0.05744460826711854,-0.3724106399829219,-0.24229608351778376,-0.01658018720310747,0.042721545976320836
MoM,0,0.11742097403385054,-0.15303389382563984,-0.3208345911554661,0.16921878634581397,-0.03948274424513206,-0.03308026661212763,-0.025217565051683277,0.14284716414399282,0.08202318657329037,-0.19179341349292275,0.02609798483847409,0.3308734544681305,0.20102440116169806,0.14111584042334838,-0.14353164550335493,0.18692017825304427,-0.047905257361022274,0.07580223285826304,0.18528810865728515,0.26713348251528796,-0.07226091363837563,-0.07877467481284,0.05953895392492483,0.14963386101258394,0.06379569363246372,0.2924160384673234,0.006910591445334735,0.2159586818678629,-0.09168024158133428,0.25760640233007426,0.6962881886175262,0.0850373220390412,0.15901871382529836,0.6357682893335713,-0.0775355999348605,0.49085787253433805,0.5820913617038146,0.38332560700831675,-0.2779873889765003,0.017297628314307766,-0.3293328919523018,0.3250893148655277,-0.18899090636955887,-0.14546906906923482,0.2149344067770143,-0.09547787382631243,-0.058545695314786525,-0.046479119237880666,-0.36411575863085227,-0.06834696566607804,-0.07612356870220796,0.11481100996301057,0.06501500628283997,0.30333730271340437,0.602493016984318,0.2615491059763946,-0.06762659169975287,-0.04511011809653386,-0.1388062017587998,0.10920318228969633,-0.17717702319288367,-0.04967624148236039,0.29984019678040646,-0.08031850220938351,-0.2512776381790613,0.3447789622973986,0.09268347922592214,-0.03414685859834773,0.23916341299202135,0.03155866682937394,-0.07673511602626429,0.27785306208452526,0.4241232778458722,0.47773174068199525,0.1418067125780775,0.36308750593185823,0.30531110959161056,-0.019835020649851213,-0.35354559593768997,-0.061394166136132404,0.18793385485014968,0.13310109524397704,-0.0715715507687497,0.40026728587587346,-0.07034580264989308,-0.18768354628386952,-0.16894668247842576,0.12239415003329382,0.05430112933051215,-0.1188328842284391
MoM Target Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47330.02384558718,48376.22801927663,49445.55796143422,50538.52485446652
MoM Performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18691938280973466,-0.1071392677041985,-0.07901381522444244,-0.2060080164675875
