Series,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022
Values,0.738644,0.916627,0.873119,0.933542,2.30604,6.33699,11.4035,8.81398,14.0773,12.4615,11.8759,11.6724,13.2248,10.9982,8.58754,7.9691,10.7275,15.8172,50.0373,79.021202,230.669006,294.915985,203.871002,383.041992,301.464996,305.878998,447.114014,756.732971,1118.310059,855.198975,396.457001,669.924011,577.64502,455.179993,433.867004,283.003998,232.848007,197.380997,113.171417,133.368256,107.061012,136.746246,141.514099,162.166031,268.113556,290.695984,218.654144,172.469788,179.872208,183.966919,152.539688,129.610855,180.160172,219.848511,133.593567,207.602051,230.975708,226.315002,345.554657,435.079742,359.937866,386.590332,614.842529,737.803406,1314.986206,1416.04895,1918.362061,2773.207031,2714.945313,2274.547607,2536.209961,3433.732666,3001.678955,4288.074219,4631.479004,3682.632813,2688.278809,2919.201172,3281.642822,3118.344238
YoY,0,0,0,0,0,0,0,0,0,0,0,0,16.904159513920103,10.99855557385938,8.83547488944806,7.536412930537673,3.6519141038316767,1.4960115133525538,3.387889682992064,7.965439222689409,15.385884082885212,22.66617060546483,16.166783317474888,31.81604400123368,21.795429496098237,26.811732647160444,51.0654359688572,93.95839818800115,103.24703416453042,53.06765894089978,6.923229290948951,7.477775508907089,1.5042160193814686,0.543422588639948,1.1281447569478271,-0.2611671725015464,-0.2276117954337889,-0.35470889374366266,-0.7468846570306785,-0.8237578365010872,-0.9042653590224032,-0.8401000819721515,-0.6430530961918869,-0.7579336934678104,-0.5358506579005909,-0.3613603662936038,-0.4960341717988769,-0.3905747296191908,-0.2275123574495529,-0.06796033156119896,0.34786408126355794,-0.028173128394211107,0.6827803944165965,0.6077114906686358,-0.05596991434754484,0.2801821054620248,-0.13851536846574075,-0.22147186594775942,0.5803709487436013,1.5226432237511651,1.001075485769319,1.1014122218353835,3.03070530077392,4.692450728760335,6.298983961893644,5.441021335823376,13.359688898792559,12.3582833967281,10.754246091541368,9.050361606165199,6.339533441738566,6.892191556002164,7.339436437621154,10.092036877425068,6.532788942776598,3.991346994405174,1.044339930513309,1.0615114837661508,0.7106483122843616,0.12445417999518991
QoQ,0,0,0,0.2638591797943258,1.5157888650454328,6.2578766468259195,11.21530472115877,2.822127976964841,1.2214489844547647,0.09277853290656377,0.3473935724837132,-0.17083531643141794,0.06125265818721671,-0.07390597765221996,-0.264286693396388,-0.3974124372391265,-0.02461311851030182,0.8418778835382424,5.278914808447629,6.366227173153112,13.583428546139647,4.893922833566159,1.5799531877533324,0.660569829654531,0.022206361584639123,0.5003555925035382,0.16727153507493248,1.5101851990802941,2.6560537543018885,0.9127089472082618,-0.4760939245503022,-0.40094966900409507,-0.3245489799610669,0.1481194476371475,-0.3523638548909989,-0.5100728160003872,-0.48844850261246,-0.5450656648690436,-0.6001066493767342,-0.42723041644930204,-0.45759210041886655,0.208310805192092,0.06107782499607691,0.5147066889298599,0.9606648360935626,1.054183901492388,0.3483350529803618,-0.3567285795873746,-0.38123600634262633,-0.1586396871581817,-0.11555705049048928,-0.2794281204353705,-0.02069256266666075,0.4412544950268941,0.030728228742878217,0.15231934281235035,0.05061301961694885,0.6940561367000552,0.6645050245674116,0.8836601726100133,0.5904286627892216,0.11875306603088254,0.4131720455971034,1.0498076909751974,2.4014979091613706,1.3031083297102242,1.6000992207401115,1.1089248072310196,0.9172679821555604,0.18567170047885967,-0.08545956625334977,0.26475205579951205,0.3196817449598451,0.6907410210270049,0.34881758555632414,0.2268576580669002,-0.3730801586669086,-0.369704327822966,-0.10888676970032754,0.15997798575065889
MoM,0,0.2409591088535208,-0.04746532668140911,0.06920362516449649,1.4702048756242352,1.7479965655409277,0.7995136492246318,-0.22708115929319933,0.5971558819057904,-0.11478053319883787,-0.04699273763190623,-0.017135543411446713,0.13299749837222855,-0.1683654951303611,-0.21918677601789383,-0.07201596732009405,0.346136953984766,0.47445350734094627,2.1634739397617784,0.5792459225417839,1.9190774141856257,0.2785245409173003,-0.30871498199733044,0.8788448982067592,-0.21297141750453305,0.014641839213730934,0.46173492434416813,0.6924832309103155,0.4778133130927103,-0.23527561241403439,-0.5364154862323122,0.6897772250464054,-0.13774545991007914,-0.21200741417280808,-0.04682321131807745,-0.3477171681854838,-0.17722714645183218,-0.15231828889993457,-0.4266346876340887,0.17846236740147908,-0.19725266558183077,0.2772739902738824,0.034866426973066404,0.14593550851777687,0.6533274838551115,0.08422710263855511,-0.24782537071444374,-0.2112210413903704,0.0429200968229868,0.022764556267636352,-0.17083088182827033,-0.1503138842135302,0.3900083600250921,0.2202947441679841,-0.3923380859286329,0.553982393478572,0.11258875761299685,-0.020178338407777517,0.5268747274650402,0.25907648236383046,-0.17270828481828057,0.0740474079490153,0.5904239659050761,0.19998759227015017,0.7822989095824261,0.07685460390297057,0.35472863491053747,0.4456119037062211,-0.021008787785667397,-0.16221236718516555,0.11503929537228633,0.3538834397788251,-0.12582625178660314,0.4285585778109972,0.08008368499743071,-0.20486893931301944,-0.27001171566436055,0.08589970736178955,0.12415781874727191,-0.04976123023055788
MoM Target Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764.0353880693874,3847.237322337589,3932.278389651115,4019.1992430355026
MoM Performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285798742083866,-0.24122144608789362,-0.1654601997059628,-0.22413793160329398
