Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,387.427002,411.697998,289.295990,338.321014,338.321014,902994450
2014-11-01,338.649994,457.092987,320.626007,378.046997,378.046997,659733360
2014-12-01,378.248993,384.037994,304.231995,320.192993,320.192993,553102310
2015-01-01,320.434998,320.434998,171.509995,217.464005,217.464005,1098811912
2015-02-01,216.867004,265.610992,212.014999,254.263000,254.263000,711518700
2015-03-01,254.283005,300.044006,236.514999,244.223999,244.223999,959098300
2015-04-01,244.223007,261.798004,214.873993,236.145004,236.145004,672338700
2015-05-01,235.938995,247.804001,228.572998,230.190002,230.190002,568122600
2015-06-01,230.233002,267.867004,221.296005,263.071991,263.071991,629780200
2015-07-01,263.345001,314.394012,253.505005,284.649994,284.649994,999892200
2015-08-01,284.686005,285.714996,199.567001,230.056000,230.056000,905192300
2015-09-01,230.255997,259.182007,225.117004,236.059998,236.059998,603623900
2015-10-01,236.003998,334.169006,235.615997,314.165985,314.165985,953279500
2015-11-01,315.005005,495.562012,300.997009,377.321014,377.321014,2177623396
2015-12-01,377.414001,469.102997,349.464996,430.566986,430.566986,2096250000
2016-01-01,430.721008,462.933990,354.914001,368.766998,368.766998,1990880304
2016-02-01,369.350006,448.045990,367.957001,437.696991,437.696991,1876238692
2016-03-01,437.916992,439.653015,394.035004,416.729004,416.729004,2332852776
2016-04-01,416.760010,467.964996,415.830994,448.317993,448.317993,1811475204
2016-05-01,448.484009,553.960022,437.389008,531.385986,531.385986,2234432796
2016-06-01,531.106995,777.989990,525.635986,673.336975,673.336975,4749702740
2016-07-01,672.515015,704.968018,611.833984,624.681030,624.681030,3454186204
2016-08-01,624.601990,626.119019,531.333984,575.471985,575.471985,2686220180
2016-09-01,575.546021,628.817993,570.810974,609.734985,609.734985,2004401400
2016-10-01,609.929016,720.401978,609.479004,700.971985,700.971985,2115443796
2016-11-01,701.336975,756.237000,678.156006,745.690979,745.690979,2635773092
2016-12-01,746.046021,979.396973,746.046021,963.742981,963.742981,3556763800
2017-01-01,963.658020,1191.099976,755.755981,970.403015,970.403015,5143971692
2017-02-01,970.940979,1200.390015,946.690979,1179.969971,1179.969971,4282761200
2017-03-01,1180.040039,1280.310059,903.713013,1071.790039,1071.790039,10872455960
2017-04-01,1071.709961,1347.910034,1061.089966,1347.890015,1347.890015,9757448112
2017-05-01,1348.300049,2763.709961,1348.300049,2286.409912,2286.409912,34261856864
2017-06-01,2288.330078,2999.909912,2212.959961,2480.840088,2480.840088,44478140928
2017-07-01,2492.600098,2916.139893,1843.030029,2875.340088,2875.340088,32619956992
2017-08-01,2871.300049,4736.049805,2668.590088,4703.390137,4703.390137,63548016640
2017-09-01,4701.759766,4975.040039,2946.620117,4338.709961,4338.709961,55700949056
2017-10-01,4341.049805,6470.430176,4164.049805,6468.399902,6468.399902,58009357952
2017-11-01,6440.970215,11517.400391,5519.009766,10233.599609,10233.599609,140735010304
2017-12-01,10198.599609,20089.000000,9694.650391,14156.400391,14156.400391,410336495104
2018-01-01,14112.200195,17712.400391,9402.290039,10221.099609,10221.099609,416247858176
2018-02-01,10237.299805,11958.500000,6048.259766,10397.900391,10397.900391,229717780480
2018-03-01,10385.000000,11704.099609,6683.930176,6973.529785,6973.529785,193751709184
2018-04-01,7003.060059,9745.320313,6526.870117,9240.549805,9240.549805,196550010624
2018-05-01,9251.469727,9964.500000,7090.680176,7494.169922,7494.169922,197611709696
2018-06-01,7500.700195,7754.890137,5826.410156,6404.000000,6404.000000,130214179584
2018-07-01,6411.680176,8424.269531,6136.419922,7780.439941,7780.439941,141441939792
2018-08-01,7769.040039,7769.040039,5971.049805,7037.580078,7037.580078,132292770000
2018-09-01,7044.810059,7388.430176,6197.520020,6625.560059,6625.560059,129745370000
2018-10-01,6619.850098,6965.060059,6236.470215,6317.609863,6317.609863,118436880000
2018-11-01,6318.140137,6552.160156,3585.060059,4017.268555,4017.268555,158359524484
2018-12-01,4024.464355,4309.377441,3191.303467,3742.700439,3742.700439,168826809069
2019-01-01,3746.713379,4109.020996,3400.819824,3457.792725,3457.792725,167335706864
2019-02-01,3460.547119,4210.641602,3391.023682,3854.785400,3854.785400,199100675597
2019-03-01,3853.757080,4296.806641,3733.749756,4105.404297,4105.404297,297952790260
2019-04-01,4105.362305,5642.044434,4096.901367,5350.726563,5350.726563,445364556718
2019-05-01,5350.914551,9008.314453,5347.645996,8574.501953,8574.501953,724157870864
2019-06-01,8573.839844,13796.489258,7564.488770,10817.155273,10817.155273,675855385074
2019-07-01,10796.930664,13129.529297,9163.134766,10085.627930,10085.627930,676416326705
2019-08-01,10077.442383,12273.821289,9421.629883,9630.664063,9630.664063,533984971734
2019-09-01,9630.592773,10898.761719,7830.758789,8293.868164,8293.868164,480544963230
2019-10-01,8299.720703,10021.744141,7446.988770,9199.584961,9199.584961,595205134748
2019-11-01,9193.992188,9505.051758,6617.166992,7569.629883,7569.629883,676919523650
2019-12-01,7571.616211,7743.431641,6540.049316,7193.599121,7193.599121,633790373416
2020-01-01,7194.892090,9553.125977,6914.996094,9350.529297,9350.529297,852872174496
2020-02-01,9346.357422,10457.626953,8492.932617,8599.508789,8599.508789,1163376492768
2020-03-01,8599.758789,9167.695313,4106.980957,6438.644531,6438.644531,1290442059648
2020-04-01,6437.319336,9440.650391,6202.373535,8658.553711,8658.553711,1156127164831
2020-05-01,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1286368141507
2020-06-01,9463.605469,10199.565430,8975.525391,9137.993164,9137.993164,650913318680
2020-07-01,9145.985352,11415.864258,8977.015625,11323.466797,11323.466797,545813339109
2020-08-01,11322.570313,12359.056641,11012.415039,11680.820313,11680.820313,708377092130
2020-09-01,11679.316406,12067.081055,9916.493164,10784.491211,10784.491211,1075949438431
2020-10-01,10795.254883,14028.213867,10416.689453,13780.995117,13780.995117,1050874546086
2020-11-01,13780.995117,19749.263672,13243.160156,19625.835938,19625.835938,1093144913227
2020-12-01,19633.769531,29244.876953,17619.533203,29001.720703,29001.720703,1212259707946
2021-01-01,28994.009766,41946.738281,28722.755859,33114.359375,33114.359375,2153473433571
2021-02-01,33114.578125,58330.570313,32384.228516,45137.769531,45137.769531,2267152936675
2021-03-01,45159.503906,61683.863281,45115.093750,58918.832031,58918.832031,1681184264687
2021-04-01,58926.562500,64863.097656,47159.484375,57750.175781,57750.175781,1844481772417
2021-05-01,57714.664063,59519.355469,30681.496094,37332.855469,37332.855469,1976593438572
2021-06-01,37293.792969,41295.269531,28893.621094,35040.835938,35040.835938,1189647451707
2021-07-01,35035.984375,42235.546875,29360.955078,41626.195313,41626.195313,819103381204
2021-08-01,41460.843750,50482.078125,37458.003906,47166.687500,47166.687500,1014674184428
2021-09-01,47099.773438,52853.765625,39787.609375,43790.894531,43790.894531,1102139678824
2021-10-01,43816.742188,66930.390625,43320.023438,61318.957031,61318.957031,1153077903534
2021-11-01,61320.449219,68789.625000,53569.765625,57005.425781,57005.425781,1053270271383
2021-12-01,56907.964844,59041.683594,42874.617188,46306.445313,46306.445313,957047184722
2022-01-01,46311.746094,47881.406250,33184.058594,38483.125000,38483.125000,923979037681
2022-02-01,38481.765625,45661.171875,34459.218750,43193.234375,43193.234375,671335993325
2022-03-01,43194.503906,48086.835938,37260.203125,45538.675781,45538.675781,830943838435
2022-04-01,45554.164063,47313.476563,39373.058594,40127.183594,40127.183594,346412050987
