Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,1.353480,1.392740,0.557062,0.738644,0.738644,19920655
2015-10-01,0.734307,1.345050,0.420897,0.916627,0.916627,19815600
2015-11-01,0.920847,1.106420,0.725665,0.873119,0.873119,25989045
2015-12-01,0.878316,1.045370,0.770488,0.933542,0.933542,14436832
2016-01-01,0.933712,2.836990,0.929835,2.306040,2.306040,99427369
2016-02-01,2.319690,6.647410,2.116310,6.336990,6.336990,350388940
2016-03-01,6.319310,15.257100,6.308850,11.403500,11.403500,911491280
2016-04-01,11.400600,11.850400,7.058980,8.813980,8.813980,503439580
2016-05-01,8.775080,15.048200,8.432360,14.077300,14.077300,866285490
2016-06-01,14.109800,21.522699,9.963640,12.461500,12.461500,1179208426
2016-07-01,12.438100,14.898900,9.576260,11.875900,11.875900,851472184
2016-08-01,11.894800,12.457800,8.200980,11.672400,11.672400,507070296
2016-09-01,11.670500,14.434100,11.252400,13.224800,13.224800,347623070
2016-10-01,13.203200,13.531000,9.563270,10.998200,10.998200,311770270
2016-11-01,10.957800,11.245400,7.875730,8.587540,8.587540,263548890
2016-12-01,8.601620,8.861330,5.978870,7.969100,7.969100,388060700
2017-01-01,7.982310,11.890900,7.982310,10.727500,10.727500,521748480
2017-02-01,10.741300,16.059401,10.551900,15.817200,15.817200,467166760
2017-03-01,15.847200,55.114700,15.558900,50.037300,50.037300,4324810304
2017-04-01,50.033699,79.021202,40.901100,79.021202,79.021202,3154319672
2017-05-01,79.321602,236.964996,73.086601,230.669006,230.669006,14679954720
2017-06-01,230.886002,414.756012,214.479996,294.915985,294.915985,34410801184
2017-07-01,293.352997,295.509003,133.723007,203.871002,203.871002,31034420096
2017-08-01,204.688004,388.747986,204.688004,383.041992,383.041992,33197513792
2017-09-01,383.467010,390.044006,195.035004,301.464996,301.464996,24310299968
2017-10-01,301.546997,349.345001,277.575012,305.878998,305.878998,13427328896
2017-11-01,308.644989,522.307007,294.541992,447.114014,447.114014,26957496832
2017-12-01,445.209015,881.943970,414.411011,756.732971,756.732971,79862276544
2018-01-01,755.757019,1432.880005,742.004028,1118.310059,1118.310059,163610220288
2018-02-01,1119.369995,1161.349976,574.419006,855.198975,855.198975,83393441152
2018-03-01,856.012024,880.302002,368.632996,396.457001,396.457001,53716179584
2018-04-01,397.253998,708.875000,363.804993,669.924011,669.924011,60669918656
2018-05-01,670.463013,835.057007,512.552002,577.645020,577.645020,81752720256
2018-06-01,578.671997,624.513000,407.946991,455.179993,455.179993,55077550208
2018-07-01,455.242004,513.432983,422.809998,433.867004,433.867004,52395320112
2018-08-01,433.868988,435.457001,254.649994,283.003998,283.003998,49073240000
2018-09-01,283.496002,301.144012,170.257004,232.848007,232.848007,55203910000
2018-10-01,233.220001,234.145004,188.707001,197.380997,197.380997,44459810000
2018-11-01,197.537003,221.651993,101.769997,113.171417,113.171417,59375107547
2018-12-01,113.397758,157.668701,82.829887,133.368256,133.368256,72329895639
2019-01-01,133.418152,160.824890,103.336464,107.061012,107.061012,85054975141
2019-02-01,107.147682,165.549622,102.934563,136.746246,136.746246,101430995445
2019-03-01,136.836243,149.613235,125.402702,141.514099,141.514099,138882123600
2019-04-01,141.465485,184.377853,140.737564,162.166031,162.166031,204556824026
2019-05-01,162.186554,287.201630,159.660217,268.113556,268.113556,314349041886
2019-06-01,268.433350,361.398682,229.257431,290.695984,290.695984,270589672710
2019-07-01,290.268494,318.223114,193.990417,218.654144,218.654144,249663340219
2019-08-01,218.554596,239.115906,167.071411,172.469788,172.469788,203391541658
2019-09-01,172.458405,222.871689,157.130325,179.872208,179.872208,223404691299
2019-10-01,180.209122,195.942505,157.463425,183.966919,183.966919,251679512754
2019-11-01,183.803696,193.547256,133.802338,152.539688,152.539688,252844958892
2019-12-01,152.491928,153.155396,119.780060,129.610855,129.610855,247117483830
2020-01-01,129.630661,186.260483,126.490021,180.160172,180.160172,327976431869
2020-02-01,180.113770,287.123688,179.745178,219.848511,219.848511,578092481246
2020-03-01,219.752686,249.978485,95.184303,133.593567,133.593567,498921414458
2020-04-01,133.612320,227.529694,129.730942,207.602051,207.602051,532158870567
2020-05-01,207.901733,244.045258,180.718338,230.975708,230.975708,505593287696
2020-06-01,230.860260,252.222000,219.472672,226.315002,226.315002,252220724156
2020-07-01,226.134583,348.611359,224.544495,345.554657,345.554657,251431946993
2020-08-01,345.798615,444.577759,343.587433,435.079742,435.079742,374122796720
2020-09-01,434.874451,487.211884,316.774353,359.937866,359.937866,518354378929
2020-10-01,360.309143,420.141663,334.545563,386.590332,386.590332,416749195873
2020-11-01,386.590332,621.173401,371.312744,614.842529,614.842529,487476388045
2020-12-01,615.070313,754.303223,532.998413,737.803406,737.803406,470673397126
2021-01-01,737.708374,1467.784912,718.109497,1314.986206,1314.986206,1181644236261
2021-02-01,1314.855225,2036.286499,1274.357788,1416.048950,1416.048950,1007718046121
2021-03-01,1417.151123,1947.837769,1416.416138,1918.362061,1918.362061,730832219123
2021-04-01,1919.157227,2797.972412,1912.178467,2773.207031,2773.207031,995334204881
2021-05-01,2772.838379,4362.350586,1737.468750,2714.945313,2714.945313,1510329786014
2021-06-01,2707.560547,2891.254883,1707.600586,2274.547607,2274.547607,813523116983
2021-07-01,2274.397461,2551.161133,1722.050781,2536.209961,2536.209961,591738936958
2021-08-01,2530.462891,3466.992188,2449.353516,3433.732666,3433.732666,703006251884
2021-09-01,3430.762451,4022.469238,2676.407471,3001.678955,3001.678955,653984909752
2021-10-01,3001.129395,4455.735352,2978.654297,4288.074219,4288.074219,574798465423
2021-11-01,4288.217285,4891.704590,3933.506592,4631.479004,4631.479004,573546775953
2021-12-01,4623.679688,4780.732422,3525.494141,3682.632813,3682.632813,621042023890
2022-01-01,3683.047119,3876.785156,2172.301270,2688.278809,2688.278809,491108556504
2022-02-01,2687.898926,3271.316162,2308.914795,2919.201172,2919.201172,416163449938
2022-03-01,2919.775879,3470.186279,2455.593750,3281.642822,3281.642822,436852450559
2022-04-01,3282.576172,3573.960205,2957.872314,3118.344238,3118.344238,233266090472
